time,open,high,low,close,volume,ticker
1/20/2025,61.74,61.87,61.27,61.34,1763550,VCB
1/21/2025,61.61,61.61,61.07,61.14,1266355,VCB
1/22/2025,61.54,61.54,61,61,979719,VCB
1/23/2025,61.07,62.14,61.07,61.87,1686458,VCB
1/24/2025,61.61,62.21,61.61,61.94,945437,VCB
2/3/2025,61.74,61.81,61.27,61.27,1436966,VCB
2/4/2025,61.61,61.67,61.34,61.54,855942,VCB
2/5/2025,61.54,62.07,61.54,61.94,1346904,VCB
2/6/2025,62.07,62.48,62.01,62.14,1352924,VCB
2/7/2025,62.14,62.34,61.87,62.21,2262521,VCB
2/10/2025,62.14,62.14,61.47,61.67,2299299,VCB
2/11/2025,61.67,61.74,61.34,61.47,1040604,VCB
2/12/2025,61.47,61.87,61.2,61.2,1057688,VCB
2/13/2025,61.47,61.47,61.14,61.27,863094,VCB
2/14/2025,61.67,61.67,61.2,61.27,948437,VCB
2/17/2025,61.2,61.54,61.2,61.27,788528,VCB
2/18/2025,61.27,61.54,61.14,61.27,1067903,VCB
2/19/2025,61.27,61.34,61.07,61.34,1510842,VCB
2/20/2025,61.67,61.74,61.34,61.34,1638352,VCB
2/21/2025,61.61,62.27,61.61,62.27,2515484,VCB
2/24/2025,62.41,62.54,62.01,62.54,1957924,VCB
2/25/2025,62.54,62.61,61.87,61.94,1928951,VCB
2/26/2025,61.94,62.14,61.67,61.74,771099,VCB
2/27/2025,63.48,63.81,62.88,62.88,5035025,VCB
2/28/2025,63.01,63.01,62.41,62.41,2073877,VCB
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
